"코드","종목명","조건만족시간"
"033230","인성정보","2024-02-20 09:00:59"
"041190","우리기술투자","2024-02-20 09:01:49"
"139670","키네마스터","2024-02-20 09:04:23"
"039860","나노엔텍","2024-02-20 09:05:03"
"060250","NHN KCP","2024-02-20 09:08:54"
