"코드","종목명","조건만족시간"
"112290","와이씨켐","2024-01-29 13:11:09"
"900250","크리스탈신소재","2024-01-29 13:11:10"
"012170","아센디오","2024-01-29 13:11:12"
"307870","비투엔","2024-01-29 13:11:16"
"452260","한화갤러리아","2024-01-29 13:11:27"
"161580","필옵틱스","2024-01-29 13:11:28"
"219420","링크제니시스","2024-01-29 13:11:56"
"048550","SM C&C","2024-01-29 13:12:22"
"027580","상보","2024-01-29 13:13:38"
"046210","HLB파나진","2024-01-29 13:13:44"
"088130","동아엘텍","2024-01-29 13:14:05"
"006880","신송홀딩스","2024-01-29 13:14:20"
"119830","아이텍","2024-01-29 13:14:22"
"012800","대창","2024-01-29 13:15:34"
"029480","광무","2024-01-29 13:15:55"
"085670","뉴프렉스","2024-01-29 13:16:19"
"080000","에스엔유","2024-01-29 13:16:41"
"290560","신시웨이","2024-01-29 13:17:39"
"187660","에이디엠코리아","2024-01-29 13:18:17"
"047080","한빛소프트","2024-01-29 13:19:08"
"009410","태영건설","2024-01-29 13:19:25"
"235980","메드팩토","2024-01-29 13:20:06"
"365330","에스와이스틸텍","2024-01-29 13:20:06"
"090470","제이스텍","2024-01-29 13:21:51"
"005710","대원산업","2024-01-29 13:22:08"
"358570","지아이이노베이션","2024-01-29 13:22:52"
"000430","대원강업","2024-01-29 13:25:34"
"412350","레이저쎌","2024-01-29 13:26:10"
"003580","HLB글로벌","2024-01-29 13:27:53"
"024850","HLB이노베이션","2024-01-29 13:27:58"
"147760","피엠티","2024-01-29 13:28:17"
"083790","CG인바이츠","2024-01-29 13:29:06"
"252990","샘씨엔에스","2024-01-29 13:29:15"
"313760","윌링스","2024-01-29 13:29:39"
"044450","KSS해운","2024-01-29 13:30:12"
"278650","HLB바이오스텝","2024-01-29 13:30:30"
"053030","바이넥스","2024-01-29 13:31:59"
"115450","HLB테라퓨틱스","2024-01-29 13:34:18"
"067630","HLB생명과학","2024-01-29 13:35:09"
"024060","흥구석유","2024-01-29 13:35:38"
"009190","대양금속","2024-01-29 13:35:55"
"078140","대봉엘에스","2024-01-29 13:38:47"
"060250","NHN KCP","2024-01-29 13:39:28"
"340810","씨유박스","2024-01-29 13:40:15"
"205470","휴마시스","2024-01-29 13:41:45"
"014470","부방","2024-01-29 13:44:51"
"137310","에스디바이오센서","2024-01-29 13:46:05"
"205500","액션스퀘어","2024-01-29 13:50:04"
"206650","유바이오로직스","2024-01-29 13:51:25"
"065450","빅텍","2024-01-29 14:00:44"
"013810","스페코","2024-01-29 14:01:49"
"010820","퍼스텍","2024-01-29 14:03:48"
"218150","미래생명자원","2024-01-29 14:04:37"
"006220","제주은행","2024-01-29 14:08:01"
"001740","SK네트웍스","2024-01-29 14:09:07"
"007330","푸른저축은행","2024-01-29 14:09:29"
"348030","모비릭스","2024-01-29 14:09:48"
"003530","한화투자증권","2024-01-29 14:13:02"
"377450","리파인","2024-01-29 14:17:16"
"005860","한일사료","2024-01-29 14:21:45"
"189330","씨이랩","2024-01-29 14:23:42"
"003380","하림지주","2024-01-29 14:24:39"
"196450","코아시아씨엠","2024-01-29 14:25:06"
"003200","일신방직","2024-01-29 14:26:05"
"005440","현대지에프홀딩스","2024-01-29 14:31:55"
"131370","알서포트","2024-01-29 14:34:00"
"227100","에이치앤비디자인","2024-01-29 14:39:10"
"214270","FSN","2024-01-29 14:41:15"
"254120","자비스","2024-01-29 14:41:52"
"145210","다이나믹디자인","2024-01-29 14:46:33"
"117580","대성에너지","2024-01-29 14:49:00"
"053050","지에스이","2024-01-29 14:49:06"
"011700","한신기계","2024-01-29 14:55:20"
"085620","미래에셋생명","2024-01-29 14:56:56"
"453340","현대그린푸드","2024-01-29 15:02:20"
"080580","오킨스전자","2024-01-29 15:05:47"
"004090","한국석유","2024-01-29 15:11:34"
"333430","일승","2024-01-29 15:12:34"
"052770","아이톡시","2024-01-29 15:13:53"
"003280","흥아해운","2024-01-29 15:14:56"
"009070","KCTC","2024-01-29 15:19:55"
